volts, angle
1.70, 93.70
1.71, 93.96
1.71, 94.22
1.71, 94.49
1.72, 94.75
1.72, 95.01
1.73, 95.28
1.73, 95.54
1.74, 95.81
1.74, 96.07
1.75, 96.33
1.75, 96.60
1.76, 96.86
1.76, 97.13
1.77, 97.39
1.77, 97.65
1.78, 97.92
1.78, 98.18
1.79, 98.45
1.79, 98.71
1.80, 98.97
1.80, 99.24
1.81, 99.50
1.81, 99.77
1.82, 100.03
1.82, 100.29
1.82, 100.56
1.83, 100.82
1.83, 101.09
1.84, 101.35
1.84, 101.61
1.85, 101.88
1.85, 102.14
1.86, 102.40
1.86, 102.67
1.87, 102.93
1.87, 103.20
1.88, 103.46
1.88, 103.72
1.89, 103.99
1.89, 104.25
1.90, 104.52
1.90, 104.78
1.91, 105.04
1.91, 105.31
1.92, 105.57
1.92, 105.84
1.93, 106.10
1.93, 106.36
1.94, 106.63
1.94, 106.89
1.94, 107.16
1.95, 107.42
1.95, 107.68
1.96, 107.95
1.96, 108.21
1.97, 108.48
1.97, 108.74
1.98, 109.00
1.98, 109.27
1.99, 109.53
1.99, 109.79
2.00, 110.06
2.00, 110.32
2.01, 110.59
2.01, 110.85
2.02, 111.11
2.02, 111.38
2.03, 111.64
2.03, 111.91
2.04, 112.17
2.04, 112.43
2.05, 112.70
2.05, 112.96
2.05, 113.23
2.06, 113.49
2.06, 113.75
2.07, 114.02
2.07, 114.28
2.08, 114.55
2.08, 114.81
2.09, 115.07
2.09, 115.34
2.10, 115.60
2.10, 115.87
2.11, 116.13
2.11, 116.39
2.12, 116.66
2.12, 116.92
2.13, 117.18
2.13, 117.45
2.14, 117.71
2.14, 117.98
2.15, 118.24
2.15, 118.50
2.16, 118.77
2.16, 119.03
2.17, 119.30
2.17, 119.56
2.17, 119.82
2.18, 120.09
2.18, 120.35
2.19, 120.62
2.19, 120.88
2.20, 121.14
2.20, 121.41
2.21, 121.67
2.21, 121.94
2.22, 122.20
2.22, 122.46
2.23, 122.73
2.23, 122.99
2.24, 123.26
2.24, 123.52
2.25, 123.78
2.25, 124.05
2.26, 124.31
2.26, 124.57
2.27, 124.84
2.27, 125.10
2.28, 125.37
2.28, 125.63
2.28, 125.89
2.29, 126.16
2.29, 126.42
2.30, 126.69
2.30, 126.95
2.31, 127.21
2.31, 127.48
2.32, 127.74
2.32, 128.01
2.33, 128.27
2.33, 128.53
2.34, 128.80
2.34, 129.06
2.35, 129.33
2.35, 129.59
2.36, 129.85
2.36, 130.12
2.37, 130.38
2.37, 130.65
2.38, 130.91
2.38, 131.17
2.39, 131.44
2.39, 131.96
2.40, 132.23
2.40, 132.49
2.41, 132.76
2.41, 133.02
2.42, 133.28
2.42, 133.55
2.43, 133.81
2.44, 134.34
2.44, 134.60
2.45, 134.87
2.45, 135.13
2.46, 135.40
2.47, 135.92
2.47, 136.19
2.48, 136.45
2.48, 136.72
2.49, 136.98
2.49, 137.24
2.50, 137.51
2.50, 137.77
2.51, 138.04
2.51, 138.30
2.51, 138.56
2.52, 138.83
2.52, 139.09
2.53, 139.35
2.53, 139.62
2.54, 139.88
2.54, 140.15
2.55, 140.41
2.55, 140.67
2.56, 140.94
2.56, 141.20
2.57, 141.47
2.57, 141.73
2.58, 141.99
2.58, 142.26
2.59, 142.52
2.59, 142.79
2.60, 143.05
2.60, 143.31
2.61, 143.58
2.61, 143.84
2.62, 144.11
2.62, 144.37
2.62, 144.63
2.63, 144.90
2.63, 145.16
2.64, 145.43
2.64, 145.69
2.65, 145.95
2.65, 146.22
2.66, 146.48
2.66, 146.74
2.67, 147.01
2.67, 147.27
2.68, 147.54
2.68, 147.80
2.69, 148.06
2.69, 148.33
2.70, 148.59
2.70, 148.86
2.71, 149.12
2.71, 149.38
2.72, 149.65
2.72, 149.91
2.73, 150.18
2.73, 150.44
2.73, 150.70
2.74, 150.97
2.74, 151.23
2.75, 151.50
2.75, 151.76
2.76, 152.02
2.76, 152.29
2.77, 152.55
2.77, 152.82
2.78, 153.08
2.78, 153.34
2.79, 153.61
2.79, 153.87
2.80, 154.13
2.80, 154.40
2.81, 154.66
2.81, 154.93
2.82, 155.19
2.82, 155.45
2.83, 155.72
2.83, 155.98
2.84, 156.25
2.84, 156.51
2.85, 156.77
2.85, 157.04
2.85, 157.30
2.86, 157.57
2.86, 157.83
2.87, 158.09
2.87, 158.36
2.88, 158.62
2.88, 158.89
2.89, 159.41
2.90, 159.94
2.91, 160.21
2.91, 160.47
2.92, 160.73
2.92, 161.00
2.93, 161.26
2.93, 161.52
2.94, 161.79
2.94, 162.05
2.95, 162.32
2.95, 162.58
2.96, 162.84
2.96, 163.37
2.97, 163.90
2.98, 164.16
2.98, 164.43
2.99, 164.96
3.00, 165.22
3.00, 165.48
3.01, 165.75
3.02, 166.28
3.02, 166.54
3.03, 166.80
3.03, 167.07
3.04, 167.60
3.05, 168.12
3.06, 168.39
3.06, 168.65
3.07, 168.91
3.08, 169.44
3.08, 169.71
3.09, 170.23
3.10, 170.76
3.10, 171.03
3.11, 171.29
3.11, 171.55
3.12, 171.82
3.12, 172.08
3.13, 172.61
3.14, 173.14
3.15, 173.40
3.15, 173.67
3.16, 173.93
3.17, 174.46
3.17, 174.72
3.18, 174.99
3.18, 175.25
3.19, 175.51
3.19, 176.04
3.20, 176.30
3.21, 176.83
3.22, 177.62
3.23, 177.89
3.24, 178.42
3.24, 178.68
3.25, 178.94
3.26, 179.47
3.26, 179.74
3.28, 180.53
3.29, 181.32
3.30, 181.58
3.30, 182.11
3.31, 182.38
3.31, 182.64
3.32, 183.17
3.33, 183.43
3.34, 184.22
3.35, 184.49
3.36, 185.01
3.36, 185.28
3.37, 185.81
3.38, 186.07
3.39, 186.60
3.40, 187.13
3.40, 187.39
3.41, 187.92
3.42, 188.18
3.42, 188.45
3.43, 188.97
3.44, 189.77
3.45, 190.03
3.46, 190.56
3.46, 190.82
3.47, 191.09
3.47, 191.35
3.48, 191.88
3.50, 192.67
3.51, 193.20
3.51, 193.46
3.52, 193.72
3.53, 194.52
3.53, 194.78
3.54, 195.04
3.55, 195.84
3.56, 196.10
3.57, 196.63
3.58, 197.42
3.59, 197.95
3.60, 198.21
3.61, 198.74
3.62, 199.27
3.63, 199.79
3.64, 200.32
3.65, 200.85
3.65, 201.11
3.66, 201.64
3.66, 201.91
3.67, 202.43
3.68, 202.96
3.69, 203.49
3.70, 204.02
3.72, 204.81
3.73, 205.60
3.74, 205.87
3.75, 206.39
3.76, 206.92
3.76, 207.18
3.76, 207.45
3.77, 207.98
3.79, 208.77
3.80, 209.56
3.81, 209.82
3.81, 210.09
3.82, 210.62
3.83, 211.14
3.85, 211.94
3.86, 212.46
3.87, 212.99
3.87, 213.52
3.88, 214.05
3.89, 214.57
3.91, 215.37
3.91, 215.63
3.93, 216.42
3.94, 216.95
3.95, 217.48
3.96, 218.27
3.97, 218.53
3.98, 219.06
3.98, 219.33
3.99, 220.12
4.00, 220.65
4.01, 221.17
4.02, 221.70
4.03, 222.23
4.04, 222.49
4.05, 223.02
4.06, 223.55
4.06, 223.81
4.07, 224.34
4.08, 224.87
4.09, 225.40
4.10, 225.66
4.10, 226.19
4.12, 226.98
4.12, 227.24
4.13, 227.51
4.13, 227.77
4.14, 228.30
4.15, 228.56
4.16, 229.35
4.17, 229.88
4.18, 230.41
4.19, 230.67
4.20, 231.20
4.21, 231.73
4.21, 231.99
4.22, 232.52
4.23, 233.05
4.24, 233.84
4.25, 234.11
4.26, 234.63
4.27, 235.43
4.28, 235.95
4.29, 236.22
4.30, 236.74
4.31, 237.27
4.31, 237.54
4.33, 238.59
4.34, 239.12
4.34, 239.38
4.35, 239.65
4.36, 240.18
4.37, 240.97
4.38, 241.23
4.39, 241.76
4.40, 242.55
4.41, 242.82
4.41, 243.08
4.42, 243.61
4.44, 244.40
4.44, 244.93
4.45, 245.19
4.45, 245.45
4.46, 245.98
4.47, 246.25
4.48, 247.04
4.49, 247.57
4.50, 248.09
4.51, 248.62
4.52, 248.89
4.53, 249.41
4.54, 249.94
4.55, 250.47
4.56, 251.00
4.56, 251.26
4.57, 252.05
4.59, 252.84
4.60, 253.64
4.61, 253.90
4.62, 254.43
4.63, 255.22
4.65, 256.01
4.66, 256.54
4.67, 257.33
4.68, 257.86
4.69, 258.65
4.70, 259.18
4.71, 259.71
4.73, 260.76
4.74, 261.03
4.75, 261.55
4.76, 262.35
4.77, 262.61
4.77, 262.87
4.78, 263.14
4.78, 263.40
4.79, 263.67
4.79, 263.93
4.79, 264.19
4.80, 264.46
4.80, 264.72
4.81, 264.99
4.81, 265.25
4.82, 265.51
4.82, 265.78
4.83, 266.04
4.83, 266.30
4.84, 266.57
4.84, 266.83
4.85, 267.10
4.85, 267.36
4.86, 267.62
4.86, 267.89
4.87, 268.15
4.87, 268.42
4.88, 268.68
4.88, 268.94
4.89, 269.21
4.89, 269.47
4.90, 269.74
4.90, 270.00
