angle, medida_1, medida_2, medida_3
30, 0.56, 0.54, 0.54
60, 1.1, 1.09, 1.07
90, 1.64, 1.61, 1.65
120, 2.19, 2.16, 2.2
150, 2.77, 2.73, 2.76
180, 3.31, 3.29, 3.24
210, 3.88, 3.92, 3.86
240, 4.5, 4.51, 4.48
270, 4.9, 4.9, 4.9
