angle, medida_1, medida_2, medida_3
30, 0.53, 0.6, 0.52
60, 1.14, 1.15, 1.13
90, 1.76, 1.72, 1.68
120, 2.28, 2.26, 2.25
150, 2.8, 2.75, 2.73
180, 3.29, 3.3, 3.26
210, 3.91, 3.89, 3.86
240, 4.46, 4.49, 4.49
270, 4.9, 4.89, 4.9
